sentence A = There is no young boy jumping in the air with his knees bent and arms spread.
sentence B = A person with a green shirt is jumping high over the grass.
entailm AB = A_contradicts_B.
entailm BA = B_neutral_A.

CONCEPTS A: Entity+,HumanYouth=,Human+,Ambulating=,AirTransportation+,Knee+,Grass+,Sleeve+,Putting+
CONCEPTS B: Human=,Green=,Shirt=,Entity+,Ambulating=,SubjectiveStrongPositiveAttribute+,Grass=

CONLL A:

1	There	there	PRON	EX	fPOS=PRON++EX	2	expl	_	?|?
2	is	be	VERB	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=VERB++VBZ	0	ROOT	_	02604760-v|Entity+
3	no	no	DET	DT	fPOS=DET++DT	5	neg	_	?|?
4	young	young	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	amod	_	01646941-a|HumanYouth=
5	boy	boy	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nsubj	_	10285313-n|Human+
6	jumping	jump	VERB	VBG	VerbForm=Ger|fPOS=VERB++VBG	5	acl	_	01963942-v|Ambulating=
7	in	in	ADP	IN	fPOS=ADP++IN	9	case	_	?|?
8	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	9	det	_	?|?
9	air	air	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	00300441-n|AirTransportation+
10	with	with	ADP	IN	fPOS=ADP++IN	13	case	_	?|?
11	his	his	PRON	PRP$	Gender=Masc|Number=Sing|Person=3|Poss=Yes|PronType=Prs|fPOS=PRON++PRP$	13	nmod:poss	_	?|?
12	knees	knee	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	13	compound	_	05573602-n|Knee+
13	bent	bent	NOUN	NN	Number=Sing|fPOS=NOUN++NN	6	nmod	_	12106786-n|Grass+
14	and	and	CONJ	CC	fPOS=CONJ++CC	13	cc	_	?|?
15	arms	arm	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	16	compound	_	04236377-n|Sleeve+
16	spread	spread	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	13	conj	_	07445896-n|Putting+
17	.	.	PUNCT	.	fPOS=PUNCT++.	2	punct	_	?|?


CONLL B:

1	A	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	2	det	_	?|?
2	person	person	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nsubj	_	00007846-n|Human=
3	with	with	ADP	IN	fPOS=ADP++IN	6	case	_	?|?
4	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	6	det	_	?|?
5	green	green	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	6	amod	_	00375969-a|Green=
6	shirt	shirt	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	nmod	_	04197391-n|Shirt=
7	is	be	AUX	VBZ	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBZ	8	aux	_	02604760-v|Entity+
8	jumping	jump	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01963942-v|Ambulating=
9	high	high	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	8	xcomp	_	02339120-a|SubjectiveStrongPositiveAttribute+
10	over	over	ADP	IN	fPOS=ADP++IN	12	case	_	?|?
11	the	the	DET	DT	Definite=Def|PronType=Art|fPOS=DET++DT	12	det	_	?|?
12	grass	grass	NOUN	NN	Number=Sing|fPOS=NOUN++NN	8	nmod	_	12102133-n|Grass=
13	.	.	PUNCT	.	fPOS=PUNCT++.	8	punct	_	?|?
