sentence A = Two bmx bikers are jumping dirt ramps in front of a body of water.
sentence B = Some bikers are getting airborne on a track near water and a skyline.
entailm AB = A_neutral_B.
entailm BA = B_neutral_A.

CONCEPTS A: ?,?,?,Entity+,Ambulating=,Text+,StationaryArtifact+,?,FrontFn=,?,?,Animal=,?,Water=,?
CONCEPTS B: ?,?,Entity+,Process+,AirTransportation+,?,?,StationaryArtifact+,?,Water=,?,?,Region+,?

CONLL A:

1	Two	2	VERB	VBN	NumType=Card|fPOS=NUM++CD	3	nummod	_	?|?
2	bmx	bmx	ADP	IN	Number=Sing|fPOS=NOUN++NN	3	compound	_	?|?
3	bikers	biker	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	nsubj	_	?|?
4	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	5	aux	_	02604760-v|Entity+
5	jumping	jump	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01963942-v|Ambulating=
6	dirt	dirt	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	compound	_	07223811-n|Text+
7	ramps	ramp	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	dobj	_	04051549-n|StationaryArtifact+
8	in	in	ADP	IN	fPOS=ADP++IN	9	case	_	?|?
9	front	front	NOUN	NN	Number=Sing|fPOS=NOUN++NN	7	nmod	_	08573472-n|FrontFn=
10	of	of	ADP	IN	fPOS=ADP++IN	12	case	_	?|?
11	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	12	det	_	?|?
12	body	body	NOUN	NN	Number=Sing|fPOS=NOUN++NN	9	nmod	_	05216365-n|Animal=
13	of	of	ADP	IN	fPOS=ADP++IN	14	case	_	?|?
14	water	water	NOUN	NN	Number=Sing|fPOS=NOUN++NN	12	nmod	_	14845743-n|Water=
15	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?
CONLL B:

1	Some	some	DET	DT	fPOS=DET++DT	2	det	_	?|?
2	bikers	biker	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	?|?
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02604760-v|Entity+
4	getting	get	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	00120316-v|Process+
5	airborne	airborne	ADJ	JJ	Number=Sing|fPOS=NOUN++NN	4	xcomp	_	01522895-a|AirTransportation+
6	on	on	ADP	IN	fPOS=ADP++IN	10	case	_	?|?
7	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	10	det	_	?|?
8	track	track	NOUN	NN	Number=Sing|fPOS=NOUN++NN	10	compound	_	04037625-n|StationaryArtifact+
9	near	near	NOUN	NN	Number=Sing|fPOS=NOUN++NN	10	amod	_	?|?
10	water	water	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	nmod	_	14845743-n|Water=
11	and	and	CONJ	CC	fPOS=CONJ++CC	5	cc	_	?|?
12	a	a	DET	DT	Definite=Ind|PronType=Art|fPOS=DET++DT	13	det	_	?|?
13	skyline	skyline	NOUN	NN	Number=Sing|fPOS=NOUN++NN	5	conj	_	08585657-n|Region+
14	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?
