sentence A = Two kids are not sticking out blue and green colored tongues.
sentence B = Two kids are sticking out blue and green colored tongues.
entailm AB = A_contradicts_B.
entailm BA = B_contradicts_A.

CONCEPTS A: ?,HumanChild=,Entity+,not=,Attaching+,Giving+,SubjectiveStrongNegativeAttribute+,?,Green=,SurfaceChange+,Tongue=,?
CONCEPTS B: ?,HumanChild=,Entity+,Attaching+,Giving+,SubjectiveStrongNegativeAttribute+,?,Green=,SurfaceChange+,Tongue=,?

CONLL A:

1	Two	2	NUM	CD	NumType=Card|fPOS=NUM++CD	2	nummod	_	?|?
2	kids	kid	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	nsubj	_	09917593-n|HumanChild=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	5	aux	_	02604760-v|Entity+
4	not	not	PART	RB	fPOS=PART++RB	5	neg	_	00024073-r|not=
5	sticking	stick	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01614581-v|Attaching+
6	out	out	ADP	RP	fPOS=ADP++RP	5	compound:prt	_	00233413-r|Giving+
7	blue	blue	NOUN	NN	VerbForm=Inf|fPOS=VERB++VB	11	amod	_	00425002-a|SubjectiveStrongNegativeAttribute+
8	and	and	CONJ	CC	fPOS=CONJ++CC	7	cc	_	?|?
9	green	green	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	7	conj	_	00375969-a|Green=
10	colored	color	VERB	VBN	Tense=Past|VerbForm=Part|fPOS=VERB++VBN	11	amod	_	00283911-v|SurfaceChange+
11	tongues	tongue	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	5	dobj	_	05301072-n|Tongue=
12	.	.	PUNCT	.	fPOS=PUNCT++.	5	punct	_	?|?
CONLL B:

1	Two	2	NOUN	NN	Number=Sing|fPOS=NOUN++NN	2	compound	_	?|?
2	kids	kid	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	nsubj	_	09917593-n|HumanChild=
3	are	be	AUX	VBP	Mood=Ind|Tense=Pres|VerbForm=Fin|fPOS=AUX++VBP	4	aux	_	02604760-v|Entity+
4	sticking	stick	VERB	VBG	Tense=Pres|VerbForm=Part|fPOS=VERB++VBG	0	ROOT	_	01614581-v|Attaching+
5	out	out	ADP	RP	fPOS=ADP++RP	4	compound:prt	_	00233413-r|Giving+
6	blue	blue	NOUN	NN	Degree=Pos|fPOS=ADJ++JJ	10	amod	_	00425002-a|SubjectiveStrongNegativeAttribute+
7	and	and	CONJ	CC	fPOS=CONJ++CC	6	cc	_	?|?
8	green	green	ADJ	JJ	Degree=Pos|fPOS=ADJ++JJ	6	conj	_	00375969-a|Green=
9	colored	color	VERB	VBN	Degree=Pos|fPOS=ADJ++JJ	10	amod	_	00283911-v|SurfaceChange+
10	tongues	tongue	NOUN	NNS	Number=Plur|fPOS=NOUN++NNS	4	dobj	_	05301072-n|Tongue=
11	.	.	PUNCT	.	fPOS=PUNCT++.	4	punct	_	?|?
